name,category,currentValue,purchasePrice,purchaseDate,currency,quantity,ticker,location,notes
Apple Inc,STOCKS,15200.00,12000.00,2022-03-15,USD,80,AAPL,,Long-term hold
Tesla Inc,STOCKS,8500.00,11000.00,2021-11-20,USD,25,TSLA,,Growth position
Bitcoin,CRYPTO,22400.00,18000.00,2023-01-10,USD,0.5,BTC,,Cold wallet storage
Ethereum,CRYPTO,6300.00,4800.00,2023-04-05,USD,3.2,ETH,,
US Treasury Bond 2028,BONDS,25000.00,25000.00,2023-06-01,USD,25,,Fidelity,5% yield
Vanguard S&P 500 ETF,STOCKS,45000.00,38000.00,2020-09-12,USD,120,VOO,,Retirement core holding
Downtown Condo,REAL_ESTATE,520000.00,420000.00,2019-07-20,USD,1,,New York,Rental property - $2800/mo
Gold ETF,COMMODITIES,12000.00,10500.00,2022-08-30,USD,60,GLD,,Inflation hedge
Cash Savings Account,CASH,35000.00,35000.00,2024-01-01,USD,,,Chase Bank,Emergency fund
Microsoft Corp,STOCKS,18900.00,15200.00,2021-05-18,USD,55,MSFT,,
Roth IRA - Vanguard,RETIREMENT,88000.00,60000.00,2018-01-01,USD,,,Vanguard,Max contribution yearly
Private Equity Fund,PRIVATE_EQUITY,50000.00,50000.00,2022-10-01,USD,,,BlackRock,10yr lockup
